index,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_行1,Q9_行2,Q9_行3,Q9_行4,Q9_行5,Q9_行6,Q9_行7,Q9_行8,Q9_行9,Q9_行10,Q9_行11,Q9_行12,Q9_行13,Q9_行14,Q9_行15,Q9_行16,Q10_行1,Q10_行2,Q10_行3,Q10_行4,Q10_行5,Q10_行6,Q10_行7,Q10_行8,Q10_行9,Q10_行10,Q11_行1,Q11_行2,Q11_行3,Q11_行4,Q11_行5,Q11_行6,Q11_行7,Q11_行8,Q11_行9,Q11_行10,Q11_行11,Q11_行12,Q11_行13,Q11_行14,Q11_行15,Q11_行16,Q11_行17,Q11_行18,Q11_行19,Q11_行20,Q11_行21,Q11_行22,Q11_行23,Q11_行24,Q11_行25,Q11_行26,Q11_行27,Q11_行28,Q11_行29,Q11_行30,Q11_行31,Q11_行32,Q11_行33,Q11_行34,Q11_行35,Q11_行36,Q11_行37,Q11_行38,Q11_行39,Q11_行40,Q11_行41,Q11_行42,Q11_行43,Q11_行44,Q11_行45,Q11_行46,Q11_行47,Q11_行48,Q11_行49,Q11_行50,Q11_行51,Q11_行52,totalvalue,T1,T2,T3,N1,N2,N3,N4,S,Z1,Z2,Z3,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13
13,2,2,4,青海,2,3,4,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,10,44,32,151,15,15,3,11,32,81,36,34,12,12,11,11,11,12,12,11,12,11,12,12,12
14,3,2,4,青海,2,4,4,5,3,3,4,4,2,2,2,3,2,2,1,1,4,5,4,5,4,4,3,4,2,4,4,2,2,2,4,4,2,2,2,3,4,4,2,2,5,4,4,4,5,5,4,5,3,4,5,2,4,5,3,4,5,3,5,4,4,5,5,4,4,5,4,5,4,3,4,4,4,3,4,4,4,4,4,5,4,5,13,47,31,204,16,11,6,14,31,111,51,42,17,17,17,15,15,15,17,13,18,14,15,18,13
15,3,2,1,青海省,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,4,4,4,4,4,4,4,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,33,39,159,10,10,6,7,39,84,37,38,12,12,12,12,12,12,12,14,12,12,13,12,12
17,3,2,4,青海省,1,2,2,2,4,3,4,3,3,2,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,4,4,3,4,4,4,4,3,4,3,4,4,4,3,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,3,4,5,4,5,4,5,4,5,4,5,4,5,5,5,5,5,4,4,4,5,4,6,49,29,209,17,13,9,10,29,114,48,47,17,17,16,18,15,16,17,17,13,14,18,17,14
18,3,2,2,青海省,2,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,64,38,207,20,20,12,12,38,111,48,48,16,16,16,16,16,16,16,16,16,16,16,16,15
19,3,2,2,青海省,1,4,3,4,3,3,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,5,2,4,4,3,3,4,3,4,4,4,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,4,4,4,4,4,4,4,11,59,37,196,17,19,11,12,37,100,47,49,15,14,12,16,15,16,16,16,16,17,16,15,12
20,3,2,4,青海省,2,4,4,4,4,4,3,4,4,3,3,3,3,3,2,2,3,4,4,4,4,3,4,4,4,3,4,4,4,3,3,4,3,3,4,4,3,4,4,3,4,3,3,3,4,3,4,3,3,4,2,4,5,4,5,5,4,4,4,4,4,4,5,4,5,5,3,4,4,3,4,4,4,5,5,4,4,3,3,4,4,4,12,53,37,199,19,15,7,12,37,105,50,44,17,15,17,16,13,15,13,15,16,14,17,17,14
21,3,1,4,青海,2,3,4,4,4,3,3,4,4,2,3,1,3,2,1,2,1,4,5,5,5,5,4,5,4,4,5,5,5,5,4,4,3,2,4,3,4,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,11,47,47,237,18,11,4,14,47,126,57,54,19,18,19,18,18,18,18,18,19,18,19,19,16
22,4,1,4,青海省,2,4,5,5,4,4,4,4,4,3,3,3,2,2,2,2,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14,50,39,203,20,13,5,12,39,107,48,48,16,15,16,16,16,16,16,16,16,16,16,16,12
23,4,2,1,青海,1,3,3,5,5,4,4,4,3,3,3,1,2,1,1,1,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,3,4,3,3,2,3,3,3,3,5,5,5,5,5,3,3,5,3,3,3,5,3,3,3,5,3,5,3,5,5,3,3,3,3,5,3,4,3,3,5,5,5,5,4,5,3,3,3,3,11,50,49,196,20,10,5,15,49,115,39,42,18,14,18,19,16,16,18,12,12,14,12,15,12
24,3,2,4,青海,2,4,5,3,3,2,3,3,3,3,3,3,3,3,3,2,5,3,4,3,4,3,4,4,4,3,3,4,3,4,3,3,4,3,3,4,3,3,3,4,4,4,4,3,3,4,3,3,4,4,3,3,3,2,5,4,3,3,4,4,4,4,3,4,5,4,3,4,4,3,4,4,5,5,4,4,3,4,5,4,4,3,12,49,36,190,14,15,10,10,36,97,47,46,15,14,14,15,12,16,12,15,15,15,18,14,15
25,4,2,3,青海,2,4,3,5,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,39,30,156,11,10,9,9,30,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
26,3,1,1,青海省,1,4,3,5,3,3,4,4,4,3,3,4,3,3,3,3,2,3,4,4,4,4,3,3,3,4,4,4,4,3,4,4,2,3,4,3,2,4,3,3,4,3,4,3,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,2,3,2,4,4,4,4,4,4,3,3,3,4,3,12,53,36,184,18,16,8,11,36,99,47,38,16,11,16,16,15,14,12,10,16,14,15,16,13
27,4,2,4,青海,2,5,3,4,3,4,4,4,3,4,4,3,4,5,3,5,3,4,3,4,5,4,3,4,4,3,4,4,5,5,3,4,4,4,3,4,4,4,3,4,4,4,3,4,5,4,4,4,5,5,4,4,5,3,4,5,3,4,5,3,4,4,4,5,4,4,4,5,3,4,4,5,4,3,3,4,3,3,4,4,5,4,12,60,41,206,18,20,11,11,41,108,50,48,15,17,16,13,16,16,14,15,18,17,17,15,17
30,4,2,4,青海,1,3,3,4,3,3,3,5,3,2,3,3,2,3,1,1,4,5,5,5,4,4,3,3,3,5,5,4,4,3,4,3,3,2,2,3,2,4,4,3,4,3,4,3,3,4,4,4,2,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,3,3,5,5,4,10,51,38,188,17,13,6,15,38,96,48,44,15,14,14,16,11,14,13,16,16,14,16,16,13
31,4,2,1,青海省,1,4,2,5,3,4,3,4,3,3,3,3,3,3,4,3,2,4,4,4,4,4,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,53,37,156,17,15,9,12,37,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
32,4,2,2,青海省,2,4,5,3,3,4,4,3,4,3,3,3,3,3,4,2,1,4,4,5,4,3,2,3,3,3,4,3,3,2,3,4,1,4,4,3,2,4,4,4,3,3,3,2,3,4,4,2,3,3,3,2,2,4,3,4,4,3,3,4,3,5,4,2,4,5,4,2,3,2,2,3,4,4,3,1,3,2,3,3,4,3,12,53,30,164,18,15,7,13,30,86,41,37,14,10,10,14,12,14,12,9,11,14,14,16,14
33,4,2,4,青海,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,4,5,5,4,4,5,5,3,4,4,5,3,4,4,5,3,3,3,5,4,4,4,4,4,3,3,4,3,4,4,4,11,64,40,210,20,20,12,12,40,113,48,49,16,16,16,16,18,17,16,15,16,17,16,16,15
34,4,2,4,青海省,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,48,30,156,15,15,9,9,30,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
36,4,1,2,青海,2,4,4,5,4,4,4,5,4,5,4,4,3,3,2,2,3,4,4,4,3,4,3,3,3,4,4,4,3,3,3,3,3,4,4,3,3,4,3,4,3,3,4,3,4,3,4,3,4,4,4,4,4,4,4,3,4,3,4,3,3,4,4,4,3,4,4,4,4,3,4,3,3,4,4,3,4,4,3,4,4,4,13,59,34,187,21,19,7,12,34,104,42,41,13,15,15,16,15,13,15,15,13,13,14,15,15
42,4,2,4,青海省,2,3,5,4,3,4,4,4,4,3,3,3,3,3,2,2,2,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,3,4,4,3,3,4,3,4,4,4,4,3,4,3,4,3,3,4,3,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,12,52,35,192,19,15,6,12,35,106,47,39,16,15,15,16,14,13,15,14,15,12,16,16,15
44,4,2,2,青海省,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,48,30,156,15,15,9,9,30,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
45,4,2,4,青海,2,4,5,4,3,4,4,4,4,3,3,3,2,2,2,1,1,4,4,4,4,3,3,2,2,3,3,2,3,3,4,3,3,3,4,3,1,4,2,2,5,1,4,1,3,4,2,3,2,3,4,3,3,4,4,4,4,5,4,5,3,5,4,4,5,5,4,5,4,4,4,5,4,4,4,4,4,4,3,1,1,1,13,48,28,179,19,13,4,12,28,96,43,40,17,9,16,14,15,16,13,11,16,13,11,16,12
46,3,2,4,青海省,2,4,5,4,4,4,4,5,4,4,4,5,3,3,1,1,2,4,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,3,4,4,4,4,3,3,3,3,4,4,3,4,4,4,3,3,4,3,13,57,32,167,21,19,4,13,32,88,42,37,15,11,13,14,11,13,14,12,13,12,14,15,10
47,4,2,4,青海,2,5,5,3,5,5,3,4,4,3,3,4,2,4,2,4,3,4,4,2,3,3,4,2,4,3,2,3,4,2,4,2,4,2,3,4,3,2,4,1,5,3,4,3,2,4,1,4,2,4,2,4,2,4,2,4,2,4,2,4,5,2,4,5,2,5,2,4,2,5,3,4,2,4,2,4,2,5,1,4,2,4,13,56,30,164,21,16,9,10,30,88,37,39,15,14,12,11,12,11,14,14,18,14,9,10,10
48,4,2,4,青海省,2,4,5,5,4,4,4,4,4,2,4,4,2,3,2,2,4,4,4,5,4,3,2,2,2,2,2,2,3,2,4,4,5,3,3,2,2,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,56,24,156,20,15,8,13,24,85,35,36,14,11,13,12,12,11,12,14,11,11,11,13,11
49,4,2,4,青海省,2,3,5,3,3,4,3,4,3,3,3,3,3,3,3,1,1,4,3,4,3,4,3,3,2,3,3,2,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,11,48,29,171,17,15,5,11,29,93,38,40,16,12,13,14,13,13,13,14,13,13,12,13,12
51,4,2,4,青海,2,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,48,30,156,15,15,9,9,30,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
52,4,2,2,青海省,2,4,4,3,4,3,4,3,4,4,4,3,3,3,4,3,4,3,4,5,5,3,4,5,3,3,4,4,4,4,4,5,4,5,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,3,3,4,4,3,4,4,4,3,4,4,5,4,3,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,11,58,39,199,18,17,11,12,39,109,43,47,17,16,16,14,15,17,15,14,13,16,15,15,16
53,3,2,3,青海,2,5,4,5,3,4,4,3,4,3,4,3,3,4,4,3,4,3,4,4,3,4,4,3,4,3,4,3,4,3,4,3,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,4,4,3,4,3,4,3,3,4,5,4,4,3,3,2,3,3,4,3,4,3,4,3,4,5,4,3,4,4,14,57,35,184,18,17,11,11,35,99,45,40,12,15,13,15,15,14,15,12,14,14,15,16,14
54,3,2,4,青海省,2,3,5,1,3,3,4,4,3,2,2,2,3,2,1,2,3,4,2,4,4,2,1,2,2,3,4,2,5,4,2,4,3,3,4,2,3,2,3,3,2,4,3,4,2,4,4,3,3,2,4,3,4,3,2,4,3,3,4,3,2,4,4,3,4,3,3,2,2,3,4,3,4,3,2,3,3,4,2,3,4,2,9,44,29,160,17,11,6,10,29,86,39,35,13,11,10,13,13,11,14,11,12,13,14,13,12
55,4,1,4,青海,2,3,5,4,3,3,3,3,3,2,2,1,2,2,1,1,1,4,3,4,4,3,2,3,3,4,3,2,3,2,4,3,4,2,4,4,2,4,4,2,4,4,4,3,4,4,4,2,3,4,4,3,3,3,3,4,5,3,3,3,2,4,5,2,3,3,2,2,3,3,2,4,4,4,2,2,4,2,2,4,4,2,12,38,29,168,15,9,3,11,29,82,44,42,11,10,11,16,15,13,10,14,12,15,14,18,9
56,4,2,1,青海省,2,3,5,5,3,3,2,3,2,2,2,2,2,2,2,1,3,4,3,4,3,4,3,3,3,4,3,3,4,3,4,4,3,3,3,4,3,4,3,3,4,3,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,3,4,3,4,4,4,4,4,3,4,3,3,3,3,4,4,3,4,4,4,4,4,3,4,13,40,33,188,13,10,6,11,33,101,44,43,16,14,15,16,14,16,14,13,14,14,14,16,12
57,4,2,4,青海省,2,4,4,3,3,4,3,4,4,4,4,2,2,3,3,1,3,4,5,5,4,4,3,3,3,2,3,3,3,3,4,4,4,4,4,3,2,4,4,3,4,4,3,4,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,4,3,4,4,4,4,5,5,4,5,4,4,5,3,4,4,3,4,4,4,4,4,3,11,54,31,191,18,15,7,14,31,101,44,46,16,12,16,14,14,14,16,16,15,16,15,14,13
58,4,2,4,青海,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,47,30,160,15,14,9,9,30,85,38,37,13,12,12,12,12,12,12,13,13,12,12,13,12
59,3,2,1,青海,2,4,3,4,3,3,3,2,2,2,2,2,3,3,3,3,2,3,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,2,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,4,2,2,2,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,11,44,36,147,13,12,8,11,36,79,34,34,12,10,12,11,12,11,12,11,11,12,12,11,10
60,4,2,4,青海省,2,4,5,5,2,4,4,4,2,3,2,2,2,2,1,1,1,4,4,5,5,4,3,4,3,4,4,3,4,4,4,4,4,2,4,4,5,5,4,3,4,5,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,4,5,5,4,5,5,5,4,5,14,43,38,238,16,11,3,13,38,127,56,55,19,20,18,17,19,19,19,19,17,17,19,20,15
61,4,2,1,青海,2,5,4,3,3,3,4,4,3,3,4,4,3,4,2,3,4,5,5,5,5,4,4,3,3,3,4,5,5,4,5,5,4,3,3,4,5,4,3,5,4,3,3,3,3,2,3,4,4,5,3,2,3,4,2,4,3,3,4,4,3,2,3,4,2,2,4,5,2,2,5,3,2,2,4,4,2,5,3,2,3,4,12,59,40,175,17,18,9,15,40,103,38,34,15,19,17,10,11,12,16,10,16,12,10,12,15
62,4,2,3,青海省,2,4,4,3,3,2,3,3,2,3,3,3,2,2,2,2,2,3,3,4,4,4,2,3,3,4,3,3,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,42,32,170,13,13,6,10,32,91,40,39,13,13,12,14,13,12,13,13,13,14,14,13,13
63,3,1,1,青海省,1,2,3,4,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,4,2,2,1,1,1,1,3,1,1,1,1,5,3,4,4,3,3,4,4,4,5,4,2,3,3,4,3,4,2,4,4,3,3,4,4,4,3,4,2,2,1,4,5,4,4,1,3,4,4,2,4,4,4,2,2,4,2,4,4,4,3,9,20,17,172,6,5,6,3,17,80,48,44,9,10,9,16,15,12,8,17,16,15,17,15,13
65,4,2,4,青海省,1,4,3,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,3,2,2,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,54,31,156,20,16,6,12,31,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
66,4,2,4,青海省,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,3,4,5,5,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,58,39,203,20,20,7,11,39,109,47,47,16,16,16,16,15,16,16,16,15,15,16,16,14
67,3,2,3,青海省,2,2,5,3,5,4,4,4,4,4,4,4,3,3,4,4,3,3,4,3,3,3,3,4,4,3,4,4,3,4,4,3,3,4,3,3,3,4,4,3,4,4,4,3,3,4,3,3,4,4,3,3,4,3,4,3,3,3,4,3,4,4,4,3,3,4,4,3,3,4,4,3,4,4,4,3,4,4,4,3,4,4,10,60,35,184,21,18,11,10,35,100,43,41,13,15,15,15,13,14,14,12,13,15,15,15,15
68,4,2,4,青海省,2,4,5,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,47,30,156,14,15,9,9,30,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
70,4,2,2,青海省,2,4,5,3,5,3,4,5,4,5,5,5,5,5,5,5,3,5,5,5,1,2,1,2,2,2,2,2,3,2,3,4,2,2,3,3,3,3,3,2,4,2,2,2,2,2,4,3,2,2,4,2,3,3,5,5,5,3,5,5,2,5,5,4,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,74,19,196,21,25,13,15,19,103,51,42,19,15,14,16,14,16,14,14,16,12,17,18,11
71,3,2,4,青海省,2,3,5,3,3,3,3,3,2,3,4,3,2,3,2,3,4,3,3,4,4,3,3,2,3,4,3,4,3,3,3,2,3,4,3,3,3,3,2,3,4,3,3,4,3,3,4,3,4,3,2,2,3,2,3,2,3,3,3,2,3,3,3,3,2,3,4,3,4,3,4,3,3,3,3,3,2,3,2,3,3,2,11,48,32,153,14,15,9,10,32,83,35,35,10,12,12,12,11,11,13,12,12,12,11,12,13
